Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
Côte d'Ivoire,Air,Test kit,19,551.0,29.0,0.97,13.0,780.34,,On time,
Vietnam,Air,Others,1000,6200.0,6.2,0.03,358.0,4521.5,,On time,India
Côte d'Ivoire,Air,Test kit,500,40000.0,80.0,0.8,171.0,1653.78,,On time,Others
Vietnam,Air,Tablet,31920,127360.8,3.99,0.07,1855.0,16007.06,,On time,India
Vietnam,Air,Others,38000,121600.0,3.2,0.05,7590.0,45450.08,,On time,India
Nigeria,Air,Others,416,2225.6,5.35,0.02,504.0,5920.42,,On time,India
Zambia,Air,Others,135,4374.0,32.4,0.36,328.0,,,On time,Others
Tanzania,Air,Tablet,16667,60834.55,3.65,0.06,1478.0,6212.41,,On time,India
Nigeria,Air,Others,273,532.35,1.95,0.03,,,,On time,India
Zambia,Air,Tablet,2800,115080.0,41.1,0.34,643.0,,,On time,Others
Zambia,Air,Tablet,2800,115080.0,41.1,0.34,643.0,,,On time,Others
Zambia,Air,Test kit,2500,100000.0,40.0,2.0,853.0,13569.49,,On time,
Nigeria,Air,Test kit,10,850.0,85.0,0.85,,,,On time,Others
Rwanda,Air,Tablet - FDC,10000,99800.0,9.98,0.17,7416.0,64179.42,,On time,India
Haiti,Air,Test kit,750,60000.0,80.0,0.8,256.0,1760.32,,On time,Others
Zimbabwe,Air,Tablet,579,14764.5,25.5,0.42,,,,On time,Others
Nigeria,,Test kit,1500,120000.0,80.0,0.8,,,192.0,On time,Others
Rwanda,Air,Test kit,2000,33000.0,16.5,0.55,710.0,3120.7,,On time,India
Tanzania,Air,Others,712,8964.08,12.59,0.06,162.0,912.96,,On time,Others
Nigeria,Air,Test kit,1000,80000.0,80.0,0.8,341.0,2682.47,128.0,On time,Others
Nigeria,Air,Test kit,7500,202500.0,27.0,1.35,2278.0,15893.71,,On time,
Côte d'Ivoire,Air,Tablet,5513,140581.5,25.5,0.42,2126.0,,224.93,On time,Others
Vietnam,Air,Others,1000,1920.0,1.92,0.01,941.0,4193.49,3.07,On time,India
Vietnam,Air,Tablet,500,41095.0,82.19,0.68,117.0,1767.38,65.75,On time,Others
Haiti,Air,Test kit,750,53992.5,71.99,0.72,171.0,3518.38,86.39,Delayed,Others
Haiti,Air,Test kit,25,8750.0,350.0,3.5,60.0,3097.85,14.0,On time,Others
Tanzania,Air,Test kit,10000,200000.0,20.0,0.8,3335.0,27869.74,320.0,On time,Others
Tanzania,Air,Test kit,10000,200000.0,20.0,0.8,3335.0,28461.1,320.0,On time,Others
Tanzania,Air,Test kit,10000,200000.0,20.0,0.8,3335.0,28359.8,320.0,On time,Others
Ethiopia,Air,Others,64000,99200.0,1.55,0.03,4228.0,12237.61,158.72,On time,India
Nigeria,Air,Test kit,10000,270000.0,27.0,1.35,3263.0,20885.78,432.0,On time,
South Africa,,Others,40,317.6,7.94,0.04,,,0.51,On time,Others
Vietnam,Air,Tablet,1000,17000.0,17.0,0.57,76.0,2282.57,27.2,On time,Others
Vietnam,Air,Tablet,400,3352.0,8.38,0.14,23.0,2149.05,5.36,On time,India
Rwanda,Air,Others,1500,15.0,0.01,0.0,99.0,0.75,0.02,On time,Others
Nigeria,Air,Others,650,6.5,0.01,0.0,,,0.01,On time,Others
South Africa,,Others,200,340.0,1.7,0.01,,,0.54,Delivered Early,Others
Haiti,Air,Test kit,2,278.0,139.0,1.39,,,0.44,On time,
Côte d'Ivoire,Air,Test kit,476,36176.0,76.0,1.9,509.0,5446.51,57.88,On time,
Côte d'Ivoire,Air,Test kit,659,13180.0,20.0,0.8,206.0,2656.12,25.83,On time,Others
Guyana,Air,Others,240,2.4,0.01,0.0,,,0.0,Delivered Early,Others
Guyana,Air,Others,213,2.13,0.01,0.0,14.0,360.0,0.0,On time,Others
Ethiopia,,Test kit,63,13399.25,212.69,2.13,,,21.44,On time,
Zimbabwe,Air,Test kit,1634,117631.66,71.99,0.72,373.0,4112.46,188.21,On time,Others
Nigeria,Air,Test kit,1425,38475.0,27.0,1.35,483.0,5468.88,61.56,On time,
Others,Air,Test kit,142,10222.58,71.99,0.72,33.0,1715.17,16.36,On time,Others
Vietnam,Air,Tablet,8400,96432.0,11.48,0.38,654.0,4051.34,154.29,On time,Others
South Africa,Truck,Others,6,405.06,67.51,0.25,,,0.65,On time,Others
South Africa,Truck,Others,600,870.0,1.45,0.01,,,1.39,On time,Others
